step,winner,endpoint_factor,edge_factor
2,-1,4,0
3,-1,5,17
4,-1,0,0
5,-1,2,34
6,-1,-9,-11
7,-1,0,34
8,-1,-1,-15
9,-1,1,19
10,-1,-2,-30
11,-1,-6,6
12,-1,-1,19
13,-1,-3,21
14,-1,-2,2
15,-1,-4,4
16,-1,-9,-45
17,-1,-9,-9
18,-1,-10,-26
19,-1,-15,-41
20,-1,-16,-58
0,-1,0,0
1,-1,3,17
2,-1,0,0
3,-1,-1,17
4,-1,0,0
5,-1,9,45
6,-1,0,0
7,-1,1,-49
8,-1,-4,-98
0,1,0,0
1,1,-1,17
2,1,-4,0
3,1,-7,19
4,1,-8,2
5,1,-7,19
6,1,-9,-15
7,1,-16,-28
8,1,-14,-30
9,1,-13,-11
10,1,-14,-28
11,1,-16,-26
0,1,0,0
1,1,1,-17
2,1,0,0
3,1,-5,-13
4,1,-8,-28
5,1,-5,21
6,1,4,-4
7,1,1,17
8,1,0,0
9,1,3,19
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,1,15
4,-1,0,-34
5,-1,3,15
6,-1,8,32
7,-1,3,17
8,-1,6,0
9,-1,5,19
10,-1,6,2
11,-1,7,19
12,-1,2,2
13,-1,11,11
14,-1,12,-4
15,-1,14,30
16,-1,15,12
17,-1,28,64
18,-1,27,46
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-3,-17
4,1,-2,-34
5,1,9,13
6,1,8,-36
7,1,10,-2
8,1,13,-19
9,1,12,-2
10,1,14,-2
11,1,15,15
12,1,17,13
13,1,16,30
14,1,14,-4
15,1,19,13
16,1,24,28
17,1,32,56
18,1,26,24
19,1,25,43
20,1,24,28
21,1,6,34
22,1,5,16
23,1,4,36
24,1,14,28
25,1,13,47
26,1,12,30
27,1,11,6
28,1,8,-14
29,1,4,-8
30,1,5,-29
31,1,3,-27
32,1,4,-50
33,1,2,-46
34,1,1,-71
35,1,2,-90
36,1,-1,-116
37,1,-47,-88
38,1,-45,-88
39,1,-46,-68
40,1,-36,-74
41,1,-41,-100
42,1,-39,-102
43,1,-46,-72
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-9,-17
4,1,-10,-34
5,1,-13,-17
6,1,-16,-34
7,1,-13,-17
8,1,-14,-34
9,1,-12,-34
10,1,-17,-49
11,1,-13,-15
12,1,-26,-62
13,1,-17,-45
14,1,-14,-28
15,1,-6,4
16,1,-5,-13
17,1,-13,-7
18,1,-14,10
