Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00     212/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator++() [80]
                0.00    0.00       7/21          Move::Move() [149]
                0.00    0.00       7/7319        std::vector<Move, std::allocator<Move> >::begin() [117]
                0.00    0.00       7/7319        std::vector<Move, std::allocator<Move> >::end() [116]
                0.00    0.00       7/7326        std::vector<Move, std::allocator<Move> >::~vector() [115]
-----------------------------------------------
                              331692             NegaMaxSearcher::NegaMax(Position const&, int) [4]
                0.00    1.34     212/212         NegaMaxSearcher::SearchBestMove(Position const&) [3]
[4]     98.0    0.00    1.34     212+331692  NegaMaxSearcher::NegaMax(Position const&, int) [4]
                0.03    1.19  331692/332164      Position::DoMove(Move, Position*) const [5]
                0.00    0.11    7305/7319        Position::GenerateMoves() const [11]
                0.01    0.00  331692/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const [40]
                0.00    0.00  338997/339469      bool __gnu_cxx::operator!=<Move*, std::vector<Move, std::allocator<Move> > >(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&, __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&) [77]
                0.00    0.00  331904/331919      Position::finished() const [82]
                0.00    0.00  331692/332165      Position::Position() [78]
                0.00    0.00  331692/331692      int const& std::max<int>(int const&, int const&) [83]
                0.00    0.00  331692/332165      Position::~Position() [79]
                0.00    0.00  331692/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator++() [80]
                0.00    0.00   53623/53637       Position::red_to_move() const [96]
                0.00    0.00   26901/26903       Position::red_winner() const [104]
                0.00    0.00    7305/7319        std::vector<Move, std::allocator<Move> >::begin() [117]
                0.00    0.00    7305/7319        std::vector<Move, std::allocator<Move> >::end() [116]
                0.00    0.00    7305/7326        std::vector<Move, std::allocator<Move> >::~vector() [115]
                              331692             NegaMaxSearcher::NegaMax(Position const&, int) [4]
-----------------------------------------------
                0.00    0.00      14/332164      StartSelfGame(Searcher*, Searcher*, bool) [2]
                0.00    0.00     212/332164      NegaMaxSearcher::SearchBestMove(Position const&) [3]
                0.00    0.00     246/332164      RandomSearcher::SearchBestMove(Position const&) [46]
                0.03    1.19  331692/332164      NegaMaxSearcher::NegaMax(Position const&, int) [4]
