Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.26     24.80     0.08 48335656     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_map_allocator() const
  0.24     24.87     0.07 51918989     0.00     0.00  bool std::operator==<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>(std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*> const&, std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*> const&)
  0.24     24.94     0.07 16716181     0.00     0.00  std::move_iterator<Move*>::operator++()
  0.24     25.01     0.07 79670150     0.00     0.00  std::bitset<7ul>::count() const
  0.24     25.08     0.07 79670150     0.00     0.00  std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >::front()
  0.24     25.15     0.07 79670150     0.00     0.00  std::remove_reference<std::pair<int, int>&>::type&& std::move<std::pair<int, int>&>(std::pair<int, int>&)
  0.24     25.22     0.07 70122905     0.00     0.00  std::pair<unsigned int const, std::bitset<7ul> >& std::forward<std::pair<unsigned int const, std::bitset<7ul> >&>(std::remove_reference<std::pair<unsigned int const, std::bitset<7ul> >&>::type&)
  0.24     25.29     0.07 51784475     0.00     0.00  bool std::__detail::operator==<std::pair<unsigned int const, std::bitset<7ul> >, false>(std::__detail::_Node_iterator_base<std::pair<unsigned int const, std::bitset<7ul> >, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned int const, std::bitset<7ul> >, false> const&)
  0.24     25.36     0.07 12083914     0.00     0.00  void std::fill<Piece*, Piece>(Piece*, Piece*, Piece const&)
  0.22     25.42     0.07 24167828     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::deallocate(std::pair<int, int>*, unsigned long)
  0.22     25.49     0.07 24167828     0.00     0.00  std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~deque()
  0.22     25.55     0.07 70122905     0.00     0.00  std::tuple_element<0ul, std::pair<unsigned int const, std::bitset<7ul> > >::type& std::get<0ul, unsigned int const, std::bitset<7ul> >(std::pair<unsigned int const, std::bitset<7ul> >&)
  0.22     25.62     0.07 51918989     0.00     0.00  std::queue<std::pair<int, int>, std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::empty() const
  0.22     25.68     0.07 39835075     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<int, int> > >::construct<std::pair<int, int>, std::pair<int, int> >(std::allocator<std::pair<int, int> >&, std::pair<int, int>*, std::pair<int, int>&&)
  0.22     25.75     0.07 39835075     0.00     0.00  std::queue<std::pair<int, int>, std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::push(std::pair<int, int>&&)
  0.20     25.81     0.06 70130166     0.00     0.00  std::hash<unsigned int>::operator()(unsigned int) const
  0.20     25.87     0.06 70122894     0.00     0.00  std::__detail::_Hashtable_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.20     25.93     0.06 51786887     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned int const&, unsigned long, unsigned long) const
  0.20     25.99     0.06 12083914     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Deque_base()
  0.20     26.05     0.06 88466184     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.20     26.11     0.06 79670150     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.20     26.17     0.06 51786887     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::allocator<std::pair<unsigned int const, std::bitset<7ul> > >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned int const&, unsigned long) const
  0.20     26.23     0.06 48335656     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int>*>::new_allocator()
  0.20     26.29     0.06 48335656     0.00     0.00  std::allocator<std::pair<int, int>*>::allocator<std::pair<int, int> >(std::allocator<std::pair<int, int> > const&)
  0.20     26.35     0.06 39835075     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, int> >::construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>&&)
  0.20     26.41     0.06 39835075     0.00     0.00  std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >::pop_front()
  0.20     26.47     0.06 36683233     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, std::bitset<7ul> >, false>::_M_next() const
  0.20     26.53     0.06 24167828     0.00     0.00  std::allocator_traits<std::allocator<std::pair<int, int>*> >::deallocate(std::allocator<std::pair<int, int>*>&, std::pair<int, int>**, unsigned long)
